,Forecasted_Close_Price
506,135.36489697343276
507,135.3797879442596
508,135.39467891508644
509,135.4095698859133
510,135.42446085674013
511,135.43935182756698
512,135.45424279839384
513,135.46913376922066
514,135.48402474004752
515,135.49891571087434
516,135.5138066817012
517,135.52869765252805
518,135.54358862335488
519,135.55847959418173
520,135.5733705650086
521,135.58826153583541
522,135.60315250666227
523,135.61804347748912
524,135.63293444831595
525,135.6478254191428
526,135.66271638996966
527,135.6776073607965
528,135.69249833162334
529,135.70738930245017
530,135.72228027327702
531,135.73717124410388
532,135.7520622149307
533,135.76695318575756
534,135.7818441565844
535,135.79673512741124
